EThree,Position,Utah,Distance,Height,Weight,Score,BYU,LDS,Alumni,Poly
0,LB,0,715.14,72,210,80,0,0,0,0
0,LB,1,240.65,74,215,80,0,1,1,1
0,OL,0,663.84,77,275,80,0,0,0,0
0,QB,0,555.32,74,215,79,1,0,0,0
0,CB,0,562.13,71,165,79,0,0,0,0
0,LB,0,1579.75,75,210,79,0,0,0,0
0,OL,1,16.56,77,320,79,0,1,0,1
0,OL,0,571.69,76,270,79,0,0,0,0
0,QB,0,605.59,73,220,79,0,0,0,0
0,RB,0,512.43,72,195,79,0,0,1,0
0,TE,0,349.27,75,205,79,0,0,0,0
0,LB,1,55.83,74,215,78,1,0,1,1
0,OL,1,43.33,79,280,78,1,1,1,0
0,WR,0,508.57,73,180,78,1,0,0,0
0,LB,0,2937.76,74,200,78,0,1,0,1
0,LB,0,571.84,74,225,78,0,1,0,0
0,OL,0,2997.06,78,255,78,0,1,1,1
0,OL,0,570.09,78,325,78,0,0,1,0
0,QB,0,562.52,76,215,78,0,0,0,0
0,TE,1,43.33,78,260,78,0,0,1,0
0,TE,1,21.16,77,230,78,0,0,0,0
0,LB,1,1.77,74,195,77,1,1,1,1
0,OL,0,593.89,78,275,77,1,0,1,1
0,QB,0,664.03,76,215,77,1,0,0,0
0,CB,0,967.36,72,175,77,0,0,0,0
0,CB,0,2060.38,74,165,77,0,0,0,0
0,DB,0,1052.49,70,175,77,0,0,0,0
0,DL,0,551.62,75,235,77,0,0,0,0
0,DL,0,746.02,76,230,77,0,0,0,0
0,OL,0,1147.72,75,255,77,0,0,0,0
0,OL,1,38.22,78,290,77,0,0,1,1
0,QB,0,903.25,72,200,77,0,0,0,0
0,TE,0,1359.41,77,220,77,0,0,0,0
0,WR,0,548.43,69,170,77,0,0,0,0
0,WR,0,1572.78,74,190,77,0,0,0,0
0,DL,1,26.55,76,210,76,1,0,0,0
0,OL,0,1004.86,78,275,76,1,1,0,0
0,TE,0,579.09,77,235,76,1,1,1,0
0,TE,0,657.62,78,205,76,1,1,1,0
0,TE,0,1560.58,78,220,76,1,0,0,0
0,CB,0,533,72,170,76,0,0,0,0
0,DB,0,559.61,72,195,76,0,0,1,1
0,DL,1,31.62,78,265,76,0,1,1,1
0,DL,0,605.59,71,295,76,0,1,0,1
0,DL,0,518.94,76,215,76,0,0,1,1
0,QB,0,976.96,73,190,76,0,0,0,0
0,TE,0,576.46,76,225,76,0,0,0,0
0,WR,0,548.43,74,180,76,0,0,0,0
0,CB,0,963.25,73,165,75,1,0,0,0
0,DL,1,55.83,75,215,75,1,1,0,1
0,DL,0,557.67,76,240,75,1,1,0,1
0,DL,0,593.89,77,250,75,1,0,1,1
0,LB,1,75.88,74,215,75,1,1,1,0
0,RB,0,345.54,71,190,75,1,0,0,0
0,RB,0,595.7,71,205,75,1,1,0,1
0,DL,0,728.73,73,260,75,0,0,0,0
0,WR,0,960.06,70,170,75,0,0,0,0
0,TE,0,962.85,76,220,74,1,0,0,0
0,CB,0,1583.73,70,165,74,0,0,0,0
0,CB,0,583.66,72,165,74,0,0,0,0
0,DB,0,571.69,72,175,74,0,1,0,0
0,DL,1,21.16,76,235,74,0,1,1,0
0,LB,0,470.91,74,210,74,0,1,0,0
0,OL,0,572.44,77,250,74,0,0,0,0
0,OL,0,447.4,77,310,74,0,0,0,0
0,LB,0,2995.46,75,215,73,1,0,0,1
0,ST,1,23.92,76,215,72,1,1,1,0
0,WR,1,1.77,69,160,72,0,0,0,1
0,DB,1,43.33,74,185,71,1,1,1,0
